author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;district;street;house_number;underground
Point Estate Город;real_estate_agent;https://www.cian.ru/rent/flat/299518282/;Москва;rent;flat;7;12;4;106.0;250000;0;Замоскворечье;Мытная ;7с1;Серпуховская
Penny Lane Realty;real_estate_agent;https://www.cian.ru/rent/flat/300945239/;Москва;rent;flat;13;34;4;147.0;240000;0;Крылатское; Крылатские Холмы;37;Крылатское
Penny Lane Realty;real_estate_agent;https://www.cian.ru/rent/flat/298657415/;Москва;rent;flat;11;27;3;120.0;200000;0;Щукино; Маршала Соколовского;5;Октябрьское поле
Penny Lane Realty;real_estate_agent;https://www.cian.ru/rent/flat/301232222/;Москва;rent;flat;18;19;2;68.0;149000;0;Раменки;Минская ;1ГК1;Ломоносовский проспект
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/301594098/;Москва;rent;flat;5;20;3;82.0;290000;0;Пресненский;Мантулинская ;9к1;Деловой центр
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/298682110/;Москва;rent;flat;3;15;3;80.0;300000;0;Замоскворечье;Большой Строченовский переулок;9;Павелецкая
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/301116082/;Москва;rent;flat;10;17;3;88.0;300000;0;Беговой;Северный ао;к3;Белорусская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/300825157/;Москва;rent;flat;8;25;3;120.0;300000;0;Пресненский;3-я Красногвардейская ;3;Москва-Сити
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/301013232/;Москва;rent;flat;10;17;3;85.0;300000;0;Беговой; 1-я Ямского Поля;1к1;Белорусская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/301307077/;Москва;rent;flat;3;6;3;146.0;300000;0;Тверской;1-й Колобовский переулок;18;Трубная
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/301563487/;Москва;rent;flat;9;17;3;100.0;300000;0;Донской; Орджоникидзе;1;Шаболовская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/302350161/;Москва;rent;flat;5;5;3;72.0;300000;0;Тверской; Петровка;26С3;Пушкинская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/302251885/;Москва;rent;flat;10;12;3;96.0;300000;0;Таганский;5-й Котельнический переулок;12;Таганская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/300830747/;Москва;rent;flat;2;10;2;100.0;300000;0;Тверской; Фадеева;4А;Новослободская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/301041101/;Москва;rent;flat;3;8;3;90.0;300000;0;Хамовники;1-й Зачатьевский переулок;5;Кропоткинская
Penny Lane Realty;real_estate_agent;https://www.cian.ru/rent/flat/300209729/;Москва;rent;flat;7;22;3;175.0;330000;0;Пресненский;Шмитовский проезд;16С1;Улица 1905 года
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/276300139/;Москва;rent;flat;3;5;4;134.0;345000;0;Замоскворечье; Малая Ордынка;13С1;Третьяковская
Penny Lane Realty;real_estate_agent;https://www.cian.ru/rent/flat/299239318/;Москва;rent;flat;7;22;4;157.0;350000;0;Якиманка; Шаболовка;23;Шаболовская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/301106327/;Москва;rent;flat;24;29;3;121.0;350000;0;Крылатское; Крылатские Холмы;37;Крылатское
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/301900469/;Москва;rent;flat;3;4;4;130.0;350000;0;Крылатское;Островной проезд;8;Молодёжная
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/300018498/;Москва;rent;flat;11;16;3;127.0;350000;0;Хамовники;Ружейный переулок;3;Смоленская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/290582534/;Москва;rent;flat;4;8;3;78.0;350000;0;Якиманка;Софийская набережная;34;Новокузнецкая
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/301890911/;Москва;rent;flat;7;9;4;150.0;350000;0;Пресненский; Красная Пресня;7;Краснопресненская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/298533087/;Москва;rent;flat;8;14;4;100.0;349000;0;Тверской;Глинищевский переулок;5/7;Пушкинская
Liberty Estate;real_estate_agent;https://www.cian.ru/rent/flat/299850429/;Москва;rent;flat;8;14;2;94.0;350000;0;Мещанский; Советской Армии;6;Достоевская
Penny Lane Realty;real_estate_agent;https://www.cian.ru/rent/flat/300884457/;Москва;rent;flat;4;16;3;139.0;350000;0;Арбат;1-й Смоленский переулок;17;Смоленская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/301779158/;Москва;rent;flat;1;5;2;70.0;370000;0;Хамовники;Пожарский переулок;9;Кропоткинская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/301020717/;Москва;rent;flat;3;5;4;143.0;380000;0;Хамовники;Пожарский переулок;9;Кропоткинская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/301959437/;Москва;rent;flat;7;9;4;107.0;380000;0;Якиманка;Лаврушинский переулок;17С2;Третьяковская
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/301812305/;Москва;rent;flat;13;18;3;85.0;380000;0;Пресненский;Средний Тишинский переулок;5;Белорусская
Капиталъ-Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/298519563/;Москва;rent;flat;8;15;4;160.0;380000;0;Мещанский;Цветной бульвар;2;Трубная
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/298378122/;Москва;rent;flat;14;15;4;175.0;390000;0;Тверской;4-я Тверская-Ямская ;22к2;Маяковская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/302214161/;Москва;rent;flat;7;12;4;133.0;400000;0;Якиманка; Серафимовича;2;Боровицкая
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/279329372/;Москва;rent;flat;7;34;2;78.0;400000;0;Замоскворечье;Космодамианская набережная;52С6;Павелецкая
Penny Lane Realty;real_estate_agent;https://www.cian.ru/rent/flat/299246280/;Москва;rent;flat;2;4;4;150.0;399000;0;Крылатское;Островной проезд;8;Молодёжная
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/301427815/;Москва;rent;flat;12;24;3;150.0;450000;0;Раменки;Ломоносовский проспект;25к3;Университет
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/302088578/;Москва;rent;flat;5;6;4;174.0;450000;0;Тверской;Воротниковский переулок;4;Пушкинская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/297081270/;Москва;rent;flat;7;10;4;240.0;450000;0;Якиманка;1-й Спасоналивковский переулок;20;Полянка
Penny Lane Realty;real_estate_agent;https://www.cian.ru/rent/flat/300743981/;Москва;rent;flat;3;7;3;160.0;450000;0;Пресненский;Хлыновский тупик;4;Арбатская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/292591840/;Москва;rent;flat;6;6;4;300.0;500000;0;Арбат;Борисоглебский переулок;15С2;Арбатская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/263626119/;Москва;rent;flat;7;34;3;113.0;550000;0;Замоскворечье;Космодамианская набережная;52С6;Павелецкая
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/299654573/;Москва;rent;flat;42;42;4;249.0;600000;0;Раменки;Мосфильмовская ;70к3;Ломоносовский проспект
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/278693094/;Москва;rent;flat;11;28;4;191.0;634575;0;Проспект Вернадского; Удальцова;85А;Мичуринский проспект
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/296475444/;Москва;rent;flat;28;34;2;164.0;650000;0;Замоскворечье;Космодамианская набережная;52С6;Павелецкая
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/300402821/;Москва;rent;flat;7;8;3;197.0;700000;0;Раменки; Улофа Пальме;7;Минская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/297672766/;Москва;rent;flat;6;7;2;97.0;750000;0;Якиманка;Ордынский тупик;4А;Третьяковская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/299717010/;Москва;rent;flat;6;7;4;248.0;750000;0;Якиманка; Большая Полянка;61С2;Добрынинская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/300858758/;Москва;rent;flat;15;15;3;210.0;800000;0;Мещанский;Цветной бульвар;2;Трубная
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/300995476/;Москва;rent;flat;7;7;4;185.0;900000;0;Замоскворечье;Садовническая ;57Ас3;Павелецкая
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/301110217/;Москва;rent;flat;5;9;3;160.0;990000;0;Пресненский; Спиридоновка;15;Тверская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/297137301/;Москва;rent;flat;3;5;3;200.0;1200000;0;Арбат;Борисоглебский переулок;13С3;Арбатская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/295368204/;Москва;rent;flat;3;5;3;260.0;1200000;0;Арбат;Борисоглебский переулок;13С3;Арбатская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/301135622/;Москва;rent;flat;23;53;4;177.0;1800000;0;Раменки;Мосфильмовская ;8;Ломоносовский проспект
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/299520791/;Москва;rent;flat;3;6;3;192.0;1800000;0;Хамовники; Остоженка;11;Кропоткинская
ID 49584574;homeowner;https://www.cian.ru/rent/flat/273246186/;Москва;rent;flat;1;5;1;30.0;59000;0;Тверской;Вадковский переулок;16;Савёловская
Каскад;real_estate_agent;https://www.cian.ru/rent/flat/300738067/;Москва;rent;flat;2;14;1;25.0;28000;0;; Логинова;5к2;Щербинка
Ма-Трёшка;real_estate_agent;https://www.cian.ru/rent/flat/245947706/;Москва;rent;flat;5;15;1;14.0;31999;0;Дмитровский;Дмитровское шоссе;107Ак5;Селигерская
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302280198/;Москва;rent;flat;2;24;1;25.0;32000;0;Выхино-Жулебино;Привольная ;56;Жулебино
Антон Осмелкин;realtor;https://www.cian.ru/rent/flat/302333219/;Москва;rent;flat;4;5;1;31.0;33000;0;Кузьминки; Федора Полетаева;2К5;Окская
Михаил Тюрин;realtor;https://www.cian.ru/rent/flat/266785012/;Москва;rent;flat;8;9;1;35.0;35000;0;Нагатинский затон;Нагатинская набережная;34;Коломенская
Антон Осмелкин;realtor;https://www.cian.ru/rent/flat/301779703/;Москва;rent;flat;8;9;1;32.6;35000;0;Ховрино;Онежская ;45/19;Моссельмаш
ID 80721550;unknown;https://www.cian.ru/rent/flat/302167096/;Москва;rent;flat;11;15;2;60.0;35000;0;;проспект Куприна;40к2;Летово
ПАРТНЕР;real_estate_agent;https://www.cian.ru/rent/flat/302034944/;Москва;rent;flat;1;5;1;35.0;37000;0;Царицыно; Медиков;18;Кантемировская
СТОЛИЦА Департамент недвижимости;real_estate_agent;https://www.cian.ru/rent/flat/301273961/;Москва;rent;flat;10;17;2;58.0;38000;0;Бирюлево Восточное;Бирюлевская ;45К1;Царицыно
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302285080/;Москва;rent;flat;1;5;1;25.0;40000;0;Академический;Большая Черемушкинская ;40К2;Профсоюзная
ID 58672303;homeowner;https://www.cian.ru/rent/flat/270773356/;Москва;rent;flat;12;14;2;46.0;40000;0;Савёлки;Зеленоград;к618;
СТОЛИЦА Департамент недвижимости;real_estate_agent;https://www.cian.ru/rent/flat/301712065/;Москва;rent;flat;2;17;1;38.0;42000;0;Новокосино;Новокосинская ;19;Новокосино
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302196429/;Москва;rent;flat;9;17;1;45.0;42000;0;Некрасовка;Покровская ;17к3;Некрасовка
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/302230688/;Москва;rent;flat;9;19;1;45.0;42000;0;Некрасовка;Покровская ;17к3;Некрасовка
СТОЛИЦА Департамент недвижимости;real_estate_agent;https://www.cian.ru/rent/flat/300232289/;Москва;rent;flat;5;5;2;47.0;43000;0;Кузьминки;Волгоградский проспект;150К2;Кузьминки
Инна Елисеева;realtor;https://www.cian.ru/rent/flat/302281020/;Москва;rent;flat;19;21;2;47.0;43000;0;;;7;Остафьево
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302311943/;Москва;rent;flat;1;9;2;50.0;45000;0;Северное Тушино;Планерная ;16К5;Планерная
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302335703/;Москва;rent;flat;3;8;1;23.0;45000;0;Печатники;Волгоградский проспект;45;Текстильщики
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302290959/;Москва;rent;flat;2;9;1;40.0;45000;0;Южное Тушино; Фабрициуса;20;Сходненская
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302240705/;Москва;rent;flat;4;14;1;40.0;45000;0;Чертаново Центральное;Чертановская ;23К2;Южная
Антон Осмелкин;realtor;https://www.cian.ru/rent/flat/302339861/;Москва;rent;flat;6;17;1;37.0;45000;0;Алексеевский;проспект Мира;110/2;Алексеевская
DOORS AGENCY;real_estate_agent;https://www.cian.ru/rent/flat/300835838/;Москва;rent;flat;16;18;2;40.0;45000;0;; Омская;18;Аэропорт Внуково
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302183225/;Москва;rent;flat;11;17;1;45.0;45000;0;Выхино-Жулебино; Хлобыстова;10К1;Рязанский проспект
Антон Осмелкин;realtor;https://www.cian.ru/rent/flat/301458445/;Москва;rent;flat;2;5;2;45.5;45000;0;Кунцево;Оршанская ;8К1;Молодёжная
ПАРТНЕР;real_estate_agent;https://www.cian.ru/rent/flat/302178190/;Москва;rent;flat;3;9;1;35.0;45000;0;Ясенево; Рокотова;7К2;Новоясеневская
Ирина Василевская;realtor;https://www.cian.ru/rent/flat/301084125/;Москва;rent;flat;1;9;2;46.0;45000;0;Восточное Измайлово;Сиреневый бульвар;52;Первомайская
ID 40124471;unknown;https://www.cian.ru/rent/flat/302344742/;Москва;rent;flat;4;19;1;40.0;45000;0;Орехово-Борисово Северное;Шипиловский проезд;47;Орехово
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/301968461/;Москва;rent;flat;4;17;1;45.0;46000;0;Чертаново Южное;Россошанская ;3К1А;Улица Академика Янгеля
ID 20233064;unknown;https://www.cian.ru/rent/flat/302310227/;Москва;rent;flat;5;16;2;52.0;47999;0;Строгино; Исаковского;20К1;Строгино
EMPIRE HOME;real_estate_agent;https://www.cian.ru/rent/flat/302339738/;Москва;rent;flat;7;9;2;45.0;48000;0;Новогиреево;Зеленый проспект;60/35;Новогиреево
Антон Осмелкин;realtor;https://www.cian.ru/rent/flat/301675844/;Москва;rent;flat;7;9;2;38.0;48000;0;Ломоносовский; Вавилова;86;Новые Черёмушки
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302351424/;Москва;rent;flat;3;33;1;30.0;50000;0;Нижегородский;Новохохловская ;15к2;Нижегородская
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302086629/;Москва;rent;flat;1;5;1;36.0;50000;0;Аэропорт;Большой Коптевский проезд;12К2;Аэропорт
DOORS AGENCY;real_estate_agent;https://www.cian.ru/rent/flat/301620515/;Москва;rent;flat;10;21;1;27.0;50000;0;Тропарево-Никулино;Востряковское шоссе;7с3;Озёрная
ПАРТНЕР;real_estate_agent;https://www.cian.ru/rent/flat/302251788/;Москва;rent;flat;9;9;1;35.0;50000;0;Отрадное; Декабристов;24А;Отрадное
Сергей Алексеев;realtor;https://www.cian.ru/rent/flat/301888324/;Москва;rent;flat;3;9;3;62.0;50000;0;Ярославский;Палехская ;12;Ростокино
Илья Андреев;realtor;https://www.cian.ru/rent/flat/302201252/;Москва;rent;flat;1;9;2;44.1;50000;0;Преображенское;Халтуринская ;19;Бульвар Рокоссовского
ID 52443511;realtor;https://www.cian.ru/rent/flat/272910570/;Москва;rent;flat;12;31;1;51.0;50000;0;Южное Бутово; Поляны;5;Улица Скобелевская
ID 96793339;homeowner;https://www.cian.ru/rent/flat/302176996/;Москва;rent;flat;5;17;3;79.8;50000;0;Некрасовка; Маршала Еременко;3к3;Некрасовка
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302308566/;Москва;rent;flat;5;9;1;25.0;51000;0;Теплый Стан; Теплый Стан;21К2;Тёплый Стан
На Петровке Продажа-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/299465480/;Москва;rent;flat;1;9;1;40.0;51000;0;Даниловский;2-й Павловский переулок;13;Серпуховская
СТОЛИЦА Департамент недвижимости;real_estate_agent;https://www.cian.ru/rent/flat/302018842/;Москва;rent;flat;7;18;1;26.0;53000;0;Останкинский;Березовая аллея;19к1;Ботанический сад
Гелиос недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/302278447/;Москва;rent;flat;11;14;2;58.0;53000;0;; Александры Монаховой;97;Бунинская аллея
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302292976/;Москва;rent;flat;3;7;1;30.0;54000;0;Таганский;Нижегородская ;32С3;Римская
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302306110/;Москва;rent;flat;1;9;2;50.0;55000;0;Савеловский;Петровско-Разумовский проезд;3/1;Петровский Парк
Анна Климова;realtor;https://www.cian.ru/rent/flat/301847614/;Москва;rent;flat;3;16;2;40.9;55000;0;; Лобановский Лес;13;Прокшино
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302296922/;Москва;rent;flat;6;17;2;65.0;55000;0;Ховрино;Клинская ;10К1;Грачёвская
СТОЛИЦА Департамент недвижимости;real_estate_agent;https://www.cian.ru/rent/flat/301907690/;Москва;rent;flat;14;14;2;57.0;55000;0;Северное Бутово;Старобитцевская ;23К2;Лесопарковая
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302330093/;Москва;rent;flat;5;12;2;50.0;55000;0;Орехово-Борисово Южное;Ясеневая ;41К1;Зябликово
Каскад;real_estate_agent;https://www.cian.ru/rent/flat/302176814/;Москва;rent;flat;2;18;2;50.0;55000;0;Гольяново;Щелковское шоссе;59;Щёлковская
Дмитрий Сыромятников;realtor;https://www.cian.ru/rent/flat/296779974/;Москва;rent;flat;3;7;1;26.0;55000;0;Южнопортовый;Волгоградский проспект;32/5к1;Угрешская
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302189515/;Москва;rent;flat;15;16;1;40.0;55000;0;Бутырский; Яблочкова;23К3;Тимирязевская
Алексей Смирнов;realtor;https://www.cian.ru/rent/flat/291153631/;Москва;rent;flat;3;33;1;24.0;55000;0;Нижегородский;Перовское шоссе;2к3;Нижегородская
СТОЛИЦА Департамент недвижимости;real_estate_agent;https://www.cian.ru/rent/flat/301825469/;Москва;rent;flat;5;12;1;42.0;57000;0;Марьина роща;Стрелецкая ;14К2;Марьина Роща
ID 90246236;homeowner;https://www.cian.ru/rent/flat/293811504/;Москва;rent;flat;9;17;1;38.1;58000;0;Москворечье-Сабурово;Кантемировская ;22К1;Кантемировская
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/302050072/;Москва;rent;flat;10;20;1;42.0;60000;0;Солнцево;Производственная ;8к1;Солнцево
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302346243/;Москва;rent;flat;6;17;2;55.0;60000;0;Марьино;Люблинская ;124;Марьино
СТОЛИЦА Департамент недвижимости;real_estate_agent;https://www.cian.ru/rent/flat/301703999/;Москва;rent;flat;4;12;3;60.0;60000;0;Восточный; Главная;27;Щёлковская
АЛГА;real_estate_agent;https://www.cian.ru/rent/flat/302280346/;Москва;rent;flat;9;35;1;45.0;60000;0;Левобережный;Смольная ;49;Беломорская
Key Group Estate;real_estate_agent;https://www.cian.ru/rent/flat/302333763/;Москва;rent;flat;9;17;2;53.3;60000;0;Можайский;Сколковское шоссе;13;Сетунь
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302240946/;Москва;rent;flat;4;9;2;45.0;60000;0;Нагорный;Черноморский бульвар;4;Варшавская
EstateLiga;real_estate_agent;https://www.cian.ru/rent/flat/302094451/;Москва;rent;flat;3;5;1;53.0;60000;0;Можайский; Маршала Неделина;40;Рабочий посёлок
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302032759/;Москва;rent;flat;4;12;1;35.0;60000;0;Сокол;Балтийская ;15;Сокол
Юлия Савельева;realtor;https://www.cian.ru/rent/flat/302232960/;Москва;rent;flat;5;14;2;55.0;60000;0;Зюзино;Нахимовский проспект;11К1;Нахимовский проспект
Life Style;real_estate_agent;https://www.cian.ru/rent/flat/301918298/;Москва;rent;flat;2;9;3;64.0;60000;0;Гольяново;Щелковское шоссе;87К1;Щёлковская
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302194500/;Москва;rent;flat;6;17;2;46.0;60000;0;Западное Дегунино;Ижорская ;6к6;Ховрино
ID 89207494;homeowner;https://www.cian.ru/rent/flat/301588339/;Москва;rent;flat;16;18;2;53.0;60000;0;;проспект Прокшинский;12;Прокшино
SPENСER ESTATE;real_estate_agent;https://www.cian.ru/rent/flat/301946402/;Москва;rent;flat;2;12;2;40.0;64000;0;Дорогомилово;площадь Победы;1кА;Парк Победы
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/302169678/;Москва;rent;flat;3;9;2;50.0;65000;0;Солнцево; 50 лет Октября;5;Говорово
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/300561092/;Москва;rent;flat;9;18;1;25.0;65000;0;Беговой;Ленинградский проспект;29к3;Динамо
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/300760568/;Москва;rent;flat;13;25;2;43.0;65000;0;; Саларьевская;11;Саларьево
Суламит-НГС;real_estate_agent;https://www.cian.ru/rent/flat/291530665/;Москва;rent;flat;3;22;2;58.0;65000;0;Ломоносовский; Академика Пилюгина;8К1;Новые Черёмушки
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302201815/;Москва;rent;flat;3;5;1;40.0;65000;0;Филевский парк;Новозаводская ;25к2;Багратионовская
ID 86144819;unknown;https://www.cian.ru/rent/flat/302039247/;Москва;rent;flat;4;16;1;36.7;65000;0;Ломоносовский;Ленинский проспект;91К4;Новаторская
Каскад;real_estate_agent;https://www.cian.ru/rent/flat/301493524/;Москва;rent;flat;3;5;1;25.0;67000;0;Ростокино;Сельскохозяйственная ;17к1;Ботанический сад
ID 13053931;unknown;https://www.cian.ru/rent/flat/302351886/;Москва;rent;flat;8;14;1;36.0;68000;0;Савеловский;Башиловская ;1К2;Савёловская
Ма-Трёшка;real_estate_agent;https://www.cian.ru/rent/flat/299921611/;Москва;rent;flat;1;6;1;23.0;69999;0;Тверской;Лесная ;35/2;Белорусская
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302338454/;Москва;rent;flat;3;17;2;35.0;70000;0;Очаково-Матвеевское;Очаковское шоссе;5к1;Аминьевская
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/301967189/;Москва;rent;flat;2;5;1;35.0;70000;0;Хорошевский; Куусинена;6К5;Полежаевская
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302350661/;Москва;rent;flat;8;17;2;50.0;70000;0;; Малое Понизовье;2;Филатов Луг
БЕСТ на Октябрьской;real_estate_agent;https://www.cian.ru/rent/flat/302292540/;Москва;rent;flat;6;17;3;83.0;70000;0;; Бианки;4К1;Рассказовка
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/300896655/;Москва;rent;flat;2;18;2;45.0;70000;0;; Большое Понизовье;10;Филатов Луг
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302173393/;Москва;rent;flat;6;14;1;45.0;70000;0;Москворечье-Сабурово; Борисовские Пруды;13К2;Борисово
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/302004346/;Москва;rent;flat;3;6;2;49.0;70000;0;; Инженера Кнорре;7к1;Румянцево
Антон Осмелкин;realtor;https://www.cian.ru/rent/flat/302125611/;Москва;rent;flat;4;24;1;42.0;70000;0;Богородское;Краснобогатырская ;24;Преображенская площадь
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/302136745/;Москва;rent;flat;14;17;3;76.0;70000;0;Митино;Пятницкое шоссе;14;Волоколамская
MERSI;real_estate_agent;https://www.cian.ru/rent/flat/302013708/;Москва;rent;flat;7;9;1;40.0;70000;0;Замоскворечье;Дубининская ;40;Серпуховская
СТОЛИЦА Департамент недвижимости;real_estate_agent;https://www.cian.ru/rent/flat/301720214/;Москва;rent;flat;25;25;1;28.0;73000;0;Ростокино; 1-я Леонова;18;Ботанический сад
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302348232/;Москва;rent;flat;7;43;1;32.0;75000;0;Раменки; Василия Ланового;1к1;Аминьевская
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302353232/;Москва;rent;flat;2;3;1;30.0;75000;0;Таганский; Земляной Вал;54С1;Таганская
ОХОТНЫЙ РЯД;real_estate_agent;https://www.cian.ru/rent/flat/209906862/;Москва;rent;flat;14;26;2;40.0;75000;0;Головинский;Кронштадтский бульвар;6к3;Водный стадион
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302347062/;Москва;rent;flat;16;26;1;40.0;75000;0;Текстильщики;1-й Грайвороновский проезд;13к4;Текстильщики
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302323661/;Москва;rent;flat;14;19;1;30.0;75000;0;Хорошево-Мневники;Шелепихинская набережная;42к1;Народное Ополчение
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302260172/;Москва;rent;flat;13;33;2;40.0;75000;0;Очаково-Матвеевское;Очаковское шоссе;5к4;Аминьевская
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/301024198/;Москва;rent;flat;9;33;3;60.0;75000;0;Западное Дегунино;Ижорская ;6к6;Грачёвская
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/302308737/;Москва;rent;flat;17;17;2;57.0;75000;0;Обручевский; Островитянова;5К2;Коньково
YU HOME;real_estate_agent;https://www.cian.ru/rent/flat/301526253/;Москва;rent;flat;10;24;2;40.0;75000;0;Западное Дегунино;Дмитровское шоссе;73Б;Верхние Лихоборы
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/301404971/;Москва;rent;flat;18;25;2;65.0;75000;0;; Родниковая;30к3;Саларьево
На Петровке Продажа-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302279466/;Москва;rent;flat;2;21;3;88.0;75000;0;Лосиноостровский;Тайнинская ;7к1;Медведково
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302194532/;Москва;rent;flat;13;21;1;43.0;75000;0;Покровское-Стрешнево;Волоколамское шоссе;71к2;Спартак
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302036698/;Москва;rent;flat;1;14;1;42.0;75000;0;Зюзино;Болотниковская ;43;Зюзино
Корона;real_estate_agent;https://www.cian.ru/rent/flat/302092935/;Москва;rent;flat;11;32;2;35.0;75000;0;Щукино; Берзарина;30А;Панфиловская
ID 356814;realtor;https://www.cian.ru/rent/flat/301528960/;Москва;rent;flat;8;18;2;52.0;75000;0;;проспект Магеллана;29;Филатов Луг
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302299878/;Москва;rent;flat;20;26;1;40.0;80000;0;Лефортово; Крузенштерна;12к3;Авиамоторная
